boundary,file,line,snippet
BACKGROUND_ASYNC,scripts/bhm_crystallize_worker.py,27,from concurrent.futures import ThreadPoolExecutor
BACKGROUND_ASYNC,scripts/bhm_crystallize_worker.py,426,"with ThreadPoolExecutor(max_workers=1, thread_name_prefix=""bhm-crystallizer-async"") as executor:"
BACKGROUND_ASYNC,src/blackholememory/agents/developer_agent.py,15,from concurrent.futures import ThreadPoolExecutor
BACKGROUND_ASYNC,src/blackholememory/agents/developer_agent.py,697,"with ThreadPoolExecutor(max_workers=1, thread_name_prefix=""bhm-agent-async"") as executor:"
BACKGROUND_ASYNC,src/blackholememory/agents/developer_agent.py,2365,"self._append_executor = ThreadPoolExecutor(max_workers=1, thread_name_prefix=f""chronicle-{safe_task_id}"")"
BACKGROUND_ASYNC,src/blackholememory/agents/developer_agent.py,4138,"asyncio.create_task(run_candidate(index, solution_text, code, unit_tests))"
BACKGROUND_ASYNC,src/blackholememory/app.py,1270,"heartbeat = asyncio.create_task(_hook_job_heartbeat(queue, job_id, owner))"
BACKGROUND_ASYNC,src/blackholememory/app.py,1338,asyncio.create_task(
BACKGROUND_ASYNC,src/blackholememory/app.py,1349,asyncio.create_task(
BACKGROUND_ASYNC,src/blackholememory/app.py,1957,warmup_task = asyncio.create_task(warmup_provider_probe())
BACKGROUND_ASYNC,src/blackholememory/app.py,1959,boot_report_task = asyncio.create_task(_finalize_pending_boot_report(warmup_task))
BACKGROUND_ASYNC,src/blackholememory/app.py,1960,telemetry_task = asyncio.create_task(_telemetry_harvester_loop())
BACKGROUND_ASYNC,src/blackholememory/app.py,2309,running_loop.create_task(self.broadcast(payload))
BACKGROUND_ASYNC,src/blackholememory/app.py,9667,asyncio.create_task(_update_vector_access_payloads_async(updates))
BACKGROUND_ASYNC,src/blackholememory/app.py,10736,local_task = asyncio.create_task(
BACKGROUND_ASYNC,src/blackholememory/app.py,10750,asyncio.create_task(
BACKGROUND_ASYNC,src/blackholememory/infra/mcp_broker.py,4,from concurrent.futures import ThreadPoolExecutor
BACKGROUND_ASYNC,src/blackholememory/infra/mcp_broker.py,110,self._dispatch_executor: ThreadPoolExecutor | None = None
BACKGROUND_ASYNC,src/blackholememory/infra/mcp_broker.py,113,def _ensure_dispatch_executor(self) -> ThreadPoolExecutor:
BACKGROUND_ASYNC,src/blackholememory/infra/mcp_broker.py,119,executor = ThreadPoolExecutor(
BACKGROUND_ASYNC,tests/integration/test_pure_core_features.py,13,from concurrent.futures import ThreadPoolExecutor
BACKGROUND_ASYNC,tests/integration/test_pure_core_features.py,1099,task = asyncio.create_task(
